고유번호,호선,역사코드,역사명,주중주말,방향,급행여부,열차코드,열차도착시간,열차출발시간,출발역,도착역
23013,공항철도,,서울역,SAT,DOWN,0,A1027,,14:50:00,서울역,인천공항2터미널
23014,공항철도,,서울역,END,DOWN,0,A1027,,14:50:00,서울역,인천공항2터미널
23015,공항철도,,인천공항1터미널,SAT,DOWN,0,A1027,,15:35:00,서울역,인천공항2터미널
23016,공항철도,,인천공항1터미널,END,DOWN,0,A1027,,15:35:00,서울역,인천공항2터미널
23017,공항철도,,인천공항2터미널,DAY,DOWN,0,A1028,,14:00:00,인천공항2터미널,서울역
23018,공항철도,,인천공항1터미널,DAY,DOWN,0,A1028,,14:08:00,인천공항2터미널,서울역
23019,공항철도,,인천공항2터미널,SAT,DOWN,0,A1028,,14:00:00,인천공항2터미널,서울역
23020,공항철도,,인천공항2터미널,END,DOWN,0,A1028,,14:00:00,인천공항2터미널,서울역
23021,공항철도,,인천공항1터미널,SAT,DOWN,0,A1028,,14:08:00,인천공항2터미널,서울역
23022,공항철도,,인천공항1터미널,END,DOWN,0,A1028,,14:08:00,인천공항2터미널,서울역
23023,공항철도,,서울역,DAY,DOWN,0,A1029,,15:30:00,서울역,인천공항2터미널
23024,공항철도,,인천공항1터미널,DAY,DOWN,0,A1029,,16:15:00,서울역,인천공항2터미널
23025,공항철도,,서울역,SAT,DOWN,0,A1029,,15:30:00,서울역,인천공항2터미널
23026,공항철도,,서울역,END,DOWN,0,A1029,,15:30:00,서울역,인천공항2터미널
23027,공항철도,,인천공항1터미널,SAT,DOWN,0,A1029,,16:15:00,서울역,인천공항2터미널
23028,공항철도,,인천공항1터미널,END,DOWN,0,A1029,,16:15:00,서울역,인천공항2터미널
23029,공항철도,,인천공항2터미널,DAY,DOWN,0,A1030,,14:40:00,인천공항2터미널,서울역
23030,공항철도,,인천공항1터미널,DAY,DOWN,0,A1030,,14:48:00,인천공항2터미널,서울역
23031,공항철도,,인천공항2터미널,SAT,DOWN,0,A1030,,14:40:00,인천공항2터미널,서울역
23032,공항철도,,인천공항2터미널,END,DOWN,0,A1030,,14:40:00,인천공항2터미널,서울역
23033,공항철도,,인천공항1터미널,SAT,DOWN,0,A1030,,14:48:00,인천공항2터미널,서울역
23034,공항철도,,인천공항1터미널,END,DOWN,0,A1030,,14:48:00,인천공항2터미널,서울역
23035,공항철도,,서울역,DAY,DOWN,0,A1031,,16:10:00,서울역,인천공항2터미널
23036,공항철도,,인천공항1터미널,DAY,DOWN,0,A1031,,16:55:00,서울역,인천공항2터미널
23037,공항철도,,서울역,SAT,DOWN,0,A1031,,16:10:00,서울역,인천공항2터미널
23038,공항철도,,서울역,END,DOWN,0,A1031,,16:10:00,서울역,인천공항2터미널
23039,공항철도,,인천공항1터미널,SAT,DOWN,0,A1031,,16:55:00,서울역,인천공항2터미널
23040,공항철도,,인천공항1터미널,END,DOWN,0,A1031,,16:55:00,서울역,인천공항2터미널
23041,공항철도,,인천공항2터미널,DAY,DOWN,0,A1032,,15:20:00,인천공항2터미널,서울역
23042,공항철도,,인천공항1터미널,DAY,DOWN,0,A1032,,15:28:00,인천공항2터미널,서울역
23043,공항철도,,인천공항2터미널,SAT,DOWN,0,A1032,,15:20:00,인천공항2터미널,서울역
23044,공항철도,,인천공항2터미널,END,DOWN,0,A1032,,15:20:00,인천공항2터미널,서울역
23045,공항철도,,인천공항1터미널,SAT,DOWN,0,A1032,,15:28:00,인천공항2터미널,서울역
23046,공항철도,,인천공항1터미널,END,DOWN,0,A1032,,15:28:00,인천공항2터미널,서울역
23047,공항철도,,서울역,DAY,DOWN,0,A1033,,16:50:00,서울역,인천공항2터미널
23048,공항철도,,인천공항1터미널,DAY,DOWN,0,A1033,,17:35:00,서울역,인천공항2터미널
23049,공항철도,,서울역,SAT,DOWN,0,A1033,,16:50:00,서울역,인천공항2터미널
23050,공항철도,,서울역,END,DOWN,0,A1033,,16:50:00,서울역,인천공항2터미널
23051,공항철도,,인천공항1터미널,SAT,DOWN,0,A1033,,17:35:00,서울역,인천공항2터미널
23052,공항철도,,인천공항1터미널,END,DOWN,0,A1033,,17:35:00,서울역,인천공항2터미널
23053,공항철도,,인천공항2터미널,DAY,DOWN,0,A1034,,16:00:00,인천공항2터미널,서울역
23054,공항철도,,인천공항1터미널,DAY,DOWN,0,A1034,,16:08:00,인천공항2터미널,서울역
23055,공항철도,,인천공항2터미널,SAT,DOWN,0,A1034,,16:00:00,인천공항2터미널,서울역
23056,공항철도,,인천공항2터미널,END,DOWN,0,A1034,,16:00:00,인천공항2터미널,서울역
23057,공항철도,,인천공항1터미널,SAT,DOWN,0,A1034,,16:08:00,인천공항2터미널,서울역
23058,공항철도,,인천공항1터미널,END,DOWN,0,A1034,,16:08:00,인천공항2터미널,서울역
23059,공항철도,,서울역,DAY,DOWN,0,A1035,,17:25:00,서울역,인천공항2터미널
23060,공항철도,,인천공항1터미널,DAY,DOWN,0,A1035,,18:10:00,서울역,인천공항2터미널
23061,공항철도,,서울역,SAT,DOWN,0,A1035,,17:25:00,서울역,인천공항2터미널
23062,공항철도,,서울역,END,DOWN,0,A1035,,17:25:00,서울역,인천공항2터미널
23063,공항철도,,인천공항1터미널,SAT,DOWN,0,A1035,,18:10:00,서울역,인천공항2터미널
23064,공항철도,,인천공항1터미널,END,DOWN,0,A1035,,18:10:00,서울역,인천공항2터미널
23065,공항철도,,인천공항2터미널,DAY,DOWN,0,A1036,,16:40:00,인천공항2터미널,서울역
23066,공항철도,,인천공항1터미널,DAY,DOWN,0,A1036,,16:48:00,인천공항2터미널,서울역
23067,공항철도,,인천공항2터미널,SAT,DOWN,0,A1036,,16:40:00,인천공항2터미널,서울역
23068,공항철도,,인천공항2터미널,END,DOWN,0,A1036,,16:40:00,인천공항2터미널,서울역
23069,공항철도,,인천공항1터미널,SAT,DOWN,0,A1036,,16:48:00,인천공항2터미널,서울역
23070,공항철도,,인천공항1터미널,END,DOWN,0,A1036,,16:48:00,인천공항2터미널,서울역
23071,공항철도,,서울역,DAY,DOWN,0,A1037,,18:00:00,서울역,인천공항2터미널
23072,공항철도,,인천공항1터미널,DAY,DOWN,0,A1037,,18:45:00,서울역,인천공항2터미널
23073,공항철도,,서울역,SAT,DOWN,0,A1037,,18:00:00,서울역,인천공항2터미널
23074,공항철도,,서울역,END,DOWN,0,A1037,,18:00:00,서울역,인천공항2터미널
23075,공항철도,,인천공항1터미널,SAT,DOWN,0,A1037,,18:45:00,서울역,인천공항2터미널
23076,공항철도,,인천공항1터미널,END,DOWN,0,A1037,,18:45:00,서울역,인천공항2터미널
